title,published_date,position,video_id,duration,view_count,like_count,comment_count
MEJOR MOJAR QUE HACER BURPEES con LLUM BARRERA | Estirando el chicle 4x05,2021-10-17T11:00:10Z,137,p8q5RWxwgFc,1:08:12,277482,8991,291
VIAJAR en el VAGÓN DEL SILENCIO tocando LAS NARICES,2021-10-15T10:45:01Z,138,vZr3HuvC2-M,0:08:07,7725,149,2
A PATRICIA ESPEJO no se le da bien CONDUCIR,2021-10-14T10:45:05Z,139,kfG25mdQThI,0:11:27,13688,371,24
El sillín de la bici que da GUSTITO en la PEPITILLA,2021-10-13T10:45:01Z,140,tTKmO8elYrM,0:09:02,8295,163,3
"SEÑOR, DÉJEME EN PAZ cuando voy por la CALLE",2021-10-12T10:45:02Z,141,wLOa7bP1c1I,0:10:50,9200,339,20
MUJER TENÍAS QUE SER con PATRICIA ESPEJO | Estirando el chicle 4x04,2021-10-10T11:00:11Z,142,5CqdtQIZYJA,0:57:15,218075,8190,292
HARTITAS de las COMPARACIONES entre MUJERES,2021-10-08T10:45:00Z,143,7N3INLXfSMw,0:15:27,8103,202,1
LALA CHUS era una niña un poco LIANTA,2021-10-07T10:45:00Z,144,fUQy7jUT-QA,0:12:26,40504,974,22
ALBA RECHE es muy CRÍTICA consigo misma,2021-10-06T10:45:01Z,145,uvvVy0ScmQA,0:08:40,5898,141,1
Las PEORES COSAS que hemos hecho JAMÁS,2021-10-05T10:45:02Z,146,viGy2DDERdA,0:15:19,18464,486,11
CONSEJOS VENDO con ALBA RECHE | Estirando el chicle 4x03,2021-10-03T11:00:31Z,147,eRo-nam7-zY,1:05:12,303142,11504,404
FRANCINE GÁLVEZ presentó el TELEDIARIO con 23 AÑOS,2021-10-01T11:00:26Z,148,oohDW0FZxBc,0:13:24,5285,143,8
CONFIANZA CIEGA fue un REALITY MUY FUERTE,2021-09-30T10:45:01Z,149,4qozA4msDXI,0:10:33,6317,147,8
Las MUJERES en la TELE cuando ENVEJECEN DESAPARECEN,2021-09-29T10:45:03Z,150,tp8pZlkYawk,0:09:49,7021,219,12
FRANCINE GÁLVEZ vs. PÉREZ REVERTE,2021-09-28T11:00:01Z,151,0in9E-7z76I,0:12:34,16569,489,15
EL PERIODISMO HA MUERTO con FRANCINE GÁLVEZ | Estirando el chicle 4x02,2021-09-26T11:00:11Z,152,VgfwAfu6A_M,1:00:32,236013,9451,351
El día a día de VIRGINIA TORRECILLA,2021-09-25T10:45:00Z,153,0prQVTtF-z4,0:10:13,4945,101,0
MACHISMO y LGTBIfobia en el mundo del FÚTBOL,2021-09-24T10:45:00Z,154,-gFTowxSO0g,0:09:01,6617,195,13
OPINAR sobre FÚTBOL FEMENINO en Twitter,2021-09-23T10:45:00Z,155,CNcD3jr6h94,0:10:08,5524,126,6
HENAR ÁLVAREZ fue ÁRBITRO DE FÚTBOL SALA,2021-09-22T10:45:02Z,156,NC5uvV5oScM,0:14:32,51776,1137,21
VIRGINIA TORRECILLA siempre quiso ser FUTBOLISTA,2021-09-21T10:45:03Z,157,gzmVHJ31Tds,0:09:32,8558,171,6
EL FÚBOL con VIRGINIA TORRECILLA | Estirando el chicle 4x01,2021-09-19T11:00:12Z,158,O_emwvmfwYg,1:12:47,278930,10336,491
EMPIEZA LA TEMPORADA 4 DE ESTIRANDO EL CHICLE,2021-09-14T11:00:12Z,159,vW6-3aK88BE,0:03:31,135369,8382,356
FINAL MÁGICO de Estirando el chicle SUMMER EDITION,2021-09-09T10:45:01Z,160,1C_Pnmp8uXk,0:02:15,19444,629,20
"Arriba el PUEBLO, abajo la CIUDAD",2021-09-08T10:45:03Z,161,UQiPj1JObFw,0:09:27,6300,163,4
HENAR ÁLVAREZ y su ESPECIAL VOMITONAS,2021-09-06T10:45:00Z,162,ZtfUWh-wwp0,0:18:27,46808,1014,31
ANDREA COMPTON creció en un PUEBLO de 13 HABITANTES,2021-09-02T10:15:01Z,163,SqUsCUT6MkM,0:12:03,11622,360,13
Que vivan LAS VERBENAS,2021-08-31T10:45:00Z,164,5aYIlxKOVmY,0:10:59,8726,254,19
ESTIRANDO EL CHICLE SUMMER EDITION 05 | VERBENAS con ANDREA COMPTON,2021-08-29T11:00:12Z,165,ahZ5bMwljnA,0:59:19,282179,10467,417
Ir a la PLAYA como DIOS nos trajo AL MUNDO,2021-08-26T10:45:01Z,166,lC4UEzmM9cs,0:12:14,32090,422,14
Los RICOS siempre están más BRONCEADOS,2021-08-25T10:45:00Z,167,Yg4a-3JhYBk,0:09:30,7004,179,7
A PEDRADAS con los MIRONES,2021-08-23T10:45:00Z,168,G6pSmXWhI5k,0:12:31,9794,304,11
¿Los HOMBRES pueden ser ALIADOS FEMINISTAS?,2021-08-19T10:45:01Z,169,DXaUHX2RFbc,0:08:03,11882,390,33
A la M*ERDA la OPERACIÓN BIKINI,2021-08-17T10:45:01Z,170,3QD4f4rle2Y,0:14:38,13545,356,16
